Category,keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/Ersafcr7/status/1414240152499621893,Ersafcr7,https://twitter.com/Ersafcr7,1626016102,Random street click from my iPhone 📱 #iPhone #Apple https://t.co/euJcnk8K0I,https://pbs.twimg.com/media/E6Bj6jhVgAg-uyR.jpg,,5,0,2
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/evolinot1/status/1412737487198433282,evolinot1,https://twitter.com/evolinot1,1625657838,"Capturing the moment with my iPhone.
#sunset #SummerVibes #vibes #goldenhour #travelphotography #Scenery #summer #birdwatching #birdphotography #iPhone #photo #NaturePhotography #Scenery https://t.co/ErHddxLlEO",https://pbs.twimg.com/media/E5sNQHqWUAEgOyg.jpg,,3,2,0
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/akiaki66697465/status/1414347457069142017,akiaki66697465,https://twitter.com/akiaki66697465,1626041685,"I'm looking for…
I'll keep my fingers crossed for you⭐️

#写真好きな人と繋がりたい 
#iPhone
#iPhoneX
#キリトリセカイ 
#スマホ写真
#TLを花でいっぱいにしよう
#花　#flowers
#花のある生活 https://t.co/0s3VXTzV1Z",https://pbs.twimg.com/media/E6DFgz7UcAIvvNp.jpg,,103,4,0
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/AntTree_Art/status/1413556328962928647,AntTree_Art,https://twitter.com/AntTree_Art,1625853066,"Peanut Butter Chip with Walnuts

Lifespan: 57 seconds. 

#baking #cookies #peanutbutter #nut #walnut #food #dessert #yum #iphone #anttree https://t.co/F2qNDvU7un",https://pbs.twimg.com/media/E531_NbWQAUx2Gb.jpg,,3,0,0
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/valeriedalling/status/1413864433219260419,valeriedalling,https://twitter.com/valeriedalling,1625926523,"This morning’s woodland visit was rather pleasant…
#Derbyshire #iPhone #photography https://t.co/YvZOHuA26v",https://pbs.twimg.com/media/E58OLXcXEAcxTO0.jpg,,21,2,0
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/exploding_girl/status/1414166240961064965,exploding_girl,https://twitter.com/exploding_girl,1625998480,New phone! Loving the camera and the bigger screen ✌🏽😎 #nofilter #iPhone https://t.co/bxpK85N932,https://pbs.twimg.com/media/E6AgsyyVEAEjA3Y.jpg,,7,0,0
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/Artistunknown31/status/1413442124901539854,Artistunknown31,https://twitter.com/Artistunknown31,1625825837,"Good morning ☀️ 

Have a nice Friday and a great weekend✨🎵

From the construction site 🦺🚧🏗

iPhone quality 📱📸

#goodmorning #sunrise #photographer #photography #photooftheday #clouds #weather #iPhone #camera #photo #construction #sky #skyline https://t.co/DSaJvLaWJZ",https://pbs.twimg.com/media/E52OHZYUcAAkENi.jpg,,62,3,0
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/almatchett/status/1413915468033937417,almatchett,https://twitter.com/almatchett,1625938691,"Tune in @Spiderwebradio  @nRadioApp

 📻 ⇨ https://t.co/80YFFvUwC6
⁦@TheIncurablesMI⁩ #TheIncurables are rocking #spiderwebradio s #Top100 #weekend #internetradio #app #carplay #ipad #iphone

@AppleMusic
 👤 ⇨ https://t.co/4ZILseWU0V
 🎧 ⇨ https://t.co/pufrU4K3jl https://t.co/T49V8z2QI6",https://pbs.twimg.com/media/E588n7DWUAEnsRw.jpg,,9,5,0
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/iheart30stm/status/1412439576363163655,iheart30stm,https://twitter.com/iheart30stm,1625586811,In Helena with my love.  #iphone #photograghy ❤️🌸 https://t.co/WI11gtOZ3l,https://pbs.twimg.com/media/E5n-TTlUUAEmmhq.jpg,,10,0,2
TopPost,#iphone,https://twitter.com/search?l=&q=#iphone,https://twitter.com/AAPLEnthusiast/status/1412439710195200003,AAPLEnthusiast,https://twitter.com/AAPLEnthusiast,1625586843,What do you think the next #iPhone will be called #iPhone13 or #iPhone12s? https://t.co/iyducbk0k4,https://pbs.twimg.com/media/E5n-bctWEAICzz-.jpg,,7,0,0
